Rnk,Name,Team,Recoveries,Retun Yards,Return Long,Return TDs
1,Courtnei Townson,Impact,6,72,72,1
2,Whitney Simms,Divas,6,28,20,0
3,Jennifer Dulski,Titans,5,0,        NR,1
4,Kimesha Sanders,Elite,3,0,        NR,0
5,Krishna Lee,Titans,3,0,        NR,0
6,Nichelle Blake,Divas,2,0,        NR,0
7,Destanie Yarbrough,War,2,0,        NR,0
8,Monisha Kirk,Elite,2,0,        NR,0
9,Danielle Fournier,Renegades,2,0,        NR,0
10,Devin Smith,Titans,2,0,        NR,0
11,Lisa King,War,2,0,        NR,0
12,LeAnndre Smith,War,1,70,        NR,1
13,Chandra Collier,Impact,1,35,35,1
14,Syreeta Gapelu,Titans,1,18,18,0
15,Ebony Jones,Elite,1,15,15,1
16,Christina Riggieri,Renegades,1,0,        NR,0
17,Emma Finestone,Renegades,1,0,        NR,0
18,Jeannette Jimenez,War,1,0,        NR,0
19,Shardonney Jenkins,War,1,0,        NR,0
20,Madeleine Entwistle,Divas,1,0,        NR,0
21,Lexie Floor,Divas,1,0,        NR,0
22,Eva Canady,Divas,1,0,        NR,0
23,Hassa Weatherd,Elite,1,0,        NR,0
24,Arianna Johnston,Elite,1,0,        NR,0
25,Charlene Casey,Renegades,1,0,        NR,0
