Rnk,Name,Team,FF
1,Whitney Simms,Divas,4
2,Krishna Lee,Titans,4
3,Carolyn Lewis,Divas,2
4,Rebecca Davis,Divas,2
5,Jeannette Jimenez,War,2
6,Kielyn Wilson,War,1
7,Crystal Asi,War,1
8,Jasmine Marby,War,1
9,LeAnndre Smith,War,1
10,Jennifer Dulski,Titans,1
11,Benita Jones,Titans,1
12,Briannah Gallo,Renegades,1
13,Destanie Yarbrough,War,1
14,Tara Mason,Divas,1
15,Kucheria Eades,Divas,1
16,Christina Riggieri,Renegades,1
17,Shannon Singletary,Renegades,1
18,DAngela Ricks ,Impact,1
19,Reese Green,Impact,1
20,Eldhah Kaswatuka,Impact,1
21,Courtnei Townson,Impact,1
22,Danielle Fournier,Renegades,1
23,Kristen Sarson,Renegades,1
24,Hassa Weatherd,Elite,1
25,Deonna Pittman,Impact,1
