Rnk,Name,Team,Yards,Comp,Att,Pct,Avg,TD,Int,Long,Rating
1,Amanda Congialdi,Divas,2284,118,189,62.4,19.4,29,2,79,139.6
2,Allison Cahill,Renegades,2136,158,240,65.8,13.5,34,2,94,130.1
3,Chantel Niino-Wiggins,War,1835,88,145,60.7,20.9,31,2,70,138.6
4,Liz Sowers,Titans,874,62,174,35.6,14.1,11,5,77,61.8
5,Sarah Gomez,Elite,591,49,108,45.4,12.1,6,2,44,73.5
6,DAngela Ricks ,Impact,309,14,33,42.4,22.1,5,2,60,90.8
7,Ashley Clark,Divas,95,4,4,100,23.8,1,0,73,158.3
8,Michele Kenney,War,84,4,8,50,21,1,1,19,87.5
9,Janathia Curry,Impact,20,2,10,20,10,0,1,10,0
10,Dana Blakey,Divas,12,1,1,100,12,0,0,12,116.7
11,Destanie Yarbrough,War,2,1,2,50,2,0,0,NR,56.2
