Rnk,Name,Team,Yards,Carries,Avg,Long,TD
1,Liz Sowers,Titans,805,87,9.3,78,9
2,Angelica Pascual,Renegades,675,91,7.4,39,14
3,Ruth Matta,Renegades,668,58,11.5,72,12
4,Shakendra Gabriel,Impact,632,72,8.8,65,11
5,Destanie Yarbrough,War,447,31,14.4,45,3
6,Alexis Snyder,War,420,52,8.1,35,5
7,Dajah Scott,Divas,405,60,6.8,73,8
8,Kesz Wesley,Elite,365,84,4.3,65,8
9,Brittany Williams,Titans,339,68,5,28,1
10,Trei Brown,Titans,308,71,4.3,35,2
11,Janathia Curry,Impact,196,27,7.3,39,7
12,Curtina Pope,Divas,194,40,4.8,21,3
13,Tianisia Johnson,Elite,192,32,6,50,3
14,Dartania Jackson,Elite,150,12,12.5,50,3
15,Charnika Foster,Impact,142,32,4.4,26,1
16,Tee Singleton,Titans,115,23,5,17,2
17,Amanda Congialdi,Divas,104,29,3.6,19,1
18,Makayla Witcher,Elite,102,14,7.3,40,1
19,Alison Gauvin,Renegades,102,14,7.3,31,1
20,Krishna Lee,Titans,90,7,12.9,28,0
21,Shaquanda Gainey ,Divas,87,6,14.5,54,1
22,Jasmine Edwards,War,87,23,3.8,NR,1
23,Lexie Floor,Divas,80,10,8,25,1
24,Remy Olinzock,Divas,70,11,6.4,22,1
25,Madeleine Entwistle,Divas,70,4,17.5,29,0
