Rnk,Name,Team,TDs
1,Dajah Scott,Divas,15
2,Ruth Matta,Renegades,15
3,Angelica Pascual,Renegades,14
4,Jamie Robinson,War,13
5,Shakendra Gabriel,Impact,12
6,Janathia Curry,Impact,10
7,Satoria Bell,Renegades,9
8,Liz Sowers,Titans,9
9,Lisa King,War,9
10,Brooke Kent,Titans,8
11,Lexie Floor,Divas,8
12,Kasee Hilliard,Divas,8
13,Stephanie Pascual,Renegades,8
14,Kesz Wesley,Elite,8
15,Shantia Creech,Renegades,6
16,Tianisia Johnson,Elite,5
17,Kentrina Wilson,Divas,5
18,Kielyn Wilson,War,5
19,Alexis Snyder,War,5
20,Curtina Pope,Divas,4
