Team,Q1_Correct,,Bonus_Team,Bonus_Correct,,Q3_Team,Q3_Correct
Team Matigale,7.5,,Team Matigale,0,,Team Matigale,13
Team MBF,7,,Team MBF,0,,Team MBF,11
Blazin Asian,7.5,,Blazin Asian,3,,Blazin Asian,9
Josh Allen is Elite,6.5,,Josh Allen is Elite,0,,Josh Allen is Elite,10
Skinny Legends,3.5,,Skinny Legends,0,,Skinny Legends,8
"Not Great, Not Terrible",6.5,,"Not Great, Not Terrible",0,,"Not Great, Not Terrible",14
Fellowship of the Beer,8,,Fellowship of the Beer,0,,Fellowship of the Beer,10
Team Bag-Bo,5.5,,Team Bag-Bo,0,,Team Bag-Bo,15
Team Jax,5.5,,Team Jax,0,,Team Jax,10
