Rk,Player,Player_ID,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Yds,Lng,Blck,Y/P
1,Harrison Butker,ButkHa00,KAN,24,,16,0,,,9,9,10,9,13,13,6,3,38,34,56,89.50%,48,45,93.80%,98,6157,60,61.20%,62.8,,,,,
2,Wil Lutz*,LutzWi00,NOR,25,,16,0,1,1,9,9,6,6,15,13,5,3,36,32,58,88.90%,49,48,98.00%,94,6082,74,78.70%,64.7,,,,,
3,Zane Gonzalez,GonzZa00,ARI,24,,16,0,,,12,12,13,12,8,5,2,2,35,31,54,88.60%,35,34,97.10%,83,5241,45,54.20%,63.1,2,84,44,0,42
4,Matt Gay,GayxMa00,TAM,25,,16,0,,,6,6,7,5,14,11,8,5,35,27,58,77.10%,48,43,89.60%,1,14,,,14,,,,,
5,Josh Lambo,LambJo00,JAX,29,,16,0,,,12,12,9,9,9,8,4,4,34,33,56,97.10%,20,19,95.00%,40,2283,23,57.50%,57.1,,,,,
6,Brandon McManus,McMaBr01,DEN,28,,16,0,,,6,6,9,9,12,10,7,4,34,29,53,85.30%,26,25,96.20%,72,4634,55,76.40%,64.4,,,,,
7,Greg Zuerlein,ZuerGr00,LAR,32,,16,0,,,7,7,8,7,11,5,7,5,33,24,58,72.70%,42,42,100.00%,83,5281,64,77.10%,63.6,,,,,
8,Joey Slye,SlyeJo00,CAR,23,,16,0,,,5,4,5,5,11,8,11,8,32,25,55,78.10%,35,31,88.60%,70,4503,66,94.30%,64.3,,,,,
9,Chris Boswell,BoswCh00,PIT,28,,16,0,1,1,11,11,7,7,10,9,2,1,31,29,51,93.50%,28,28,100.00%,72,4552,31,43.10%,63.2,,,,,
10,Randy Bullock,BullRa00,CIN,30,,16,0,,,10,10,6,6,12,10,3,1,31,27,57,87.10%,25,24,96.00%,71,4269,46,64.80%,60.1,,,,,
11,Robbie Gould,gouldrob01,SFO,37,,13,0,,,9,9,10,8,8,6,4,,31,23,47,74.20%,42,41,97.60%,1,37,,,37,,,,,
12,Matt Prater,PratMa20,DET,35,,16,0,,,11,11,3,2,9,6,8,7,31,26,56,83.90%,36,35,97.20%,19,1159,8,42.10%,61,,,,,
13,Dustin Hopkins,HopkDu00,WAS,29,,16,0,,,8,7,9,8,10,8,3,2,30,25,53,83.30%,22,21,95.50%,68,4231,48,70.60%,62.2,,,,,
14,Brett Maher,MaheBr01,DAL,30,,13,0,,,9,9,8,6,5,1,8,4,30,20,63,66.70%,36,36,100.00%,69,4170,36,52.20%,60.4,,,,,
15,Jason Sanders,SandJa00,MIA,24,,16,0,,,7,7,9,8,9,5,5,3,30,23,54,76.70%,30,29,96.70%,71,4314,49,69.00%,60.8,,,,,
16,Austin Seibert,SeibAu00,CLE,23,,16,0,,,6,6,9,9,12,9,2,1,29,25,53,86.20%,35,30,85.70%,75,4753,30,40.00%,63.4,1,37,37,0,37
17,Dan Bailey,BailDa00,MIN,31,,16,0,,,10,10,9,9,7,5,3,3,29,27,50,93.10%,44,40,90.90%,87,5597,66,75.90%,64.3,,,,,
18,Justin Tucker*+,TuckJu00,BAL,30,,16,0,,,8,8,9,9,11,10,1,1,29,28,51,96.60%,59,57,96.60%,106,6646,57,53.80%,62.7,,,,,
19,Stephen Hauschka,HausSt00,BUF,34,,16,0,,,5,5,8,7,10,9,5,1,28,22,51,78.60%,32,30,93.80%,73,4529,42,57.50%,62,,,,,
20,Jason Myers,MyerJa00,SEA,28,,16,0,,,6,6,11,11,7,4,4,2,28,23,54,82.10%,44,40,90.90%,85,5337,59,69.40%,62.8,,,,,
21,Eddy Pineiro,PineEd00,CHI,24,,16,0,1,1,8,8,10,9,7,3,2,2,28,23,53,82.10%,29,27,93.10%,52,3141,26,50.00%,60.4,,,,,
22,Sam Ficken,FickSa00,NYJ,27,,15,0,,,2,2,8,7,11,7,6,3,27,19,54,70.40%,26,23,88.50%,62,3763,29,46.80%,60.7,,,,,
23,Daniel Carlson,CarlDa00,OAK,24,,16,0,,,8,8,6,5,10,6,2,,26,19,48,73.10%,36,34,94.40%,71,4496,38,53.50%,63.3,,,,,
24,Jake Elliott,ElliJa03,PHI,24,,16,0,,,7,7,8,8,7,5,4,2,26,22,53,84.60%,37,35,94.60%,81,5058,52,64.20%,62.4,,,,,
25,Younghoe Koo,KooxYo00,ATL,25,,8,0,,,6,6,10,9,9,7,1,1,26,23,50,88.50%,16,15,93.80%,50,3041,27,54.00%,60.8,,,,,
26,Ka'imi Fairbairn,FairKa01,HOU,25,,16,0,,,5,5,8,8,6,4,6,3,25,20,54,80.00%,45,40,88.90%,81,5091,42,51.90%,62.9,1,26,26,0,26
27,Adam Vinatieri,vinatada01,IND,47,,12,0,,,7,6,6,6,7,3,5,2,25,17,55,68.00%,28,22,78.60%,,,,,,,,,,
28,Mason Crosby,CrosMa20,GNB,35,,16,0,1,1,2,2,11,11,8,7,2,1,24,22,54,91.70%,41,40,97.60%,79,5031,49,62.00%,63.7,,,,,
29,Chase McLaughlin,McLaCh00,3TM,23,,11,0,1,1,5,5,4,4,10,5,3,3,23,18,50,78.30%,26,26,100.00%,18,1064,7,38.90%,59.1,,,,,
30,Nick Folk,FolkNi20,NWE,35,,7,0,1,1,5,5,3,3,7,4,1,1,17,14,51,82.40%,12,12,100.00%,1,41,,,41,,,,,
31,Aldrick Rosas,RosaAl00,NYG,25,,16,0,,,6,6,6,5,4,1,1,,17,12,45,70.60%,39,35,89.70%,71,4433,50,70.40%,62.4,,,,,
32,Michael Badgley,BadgMi00,LAC,24,,8,0,,,5,5,2,2,8,6,1,,16,13,49,81.30%,19,19,100.00%,11,665,1,9.10%,60.5,,,,,
33,Matt Bryant,bryanmat01,ATL,44,,7,0,,,1,1,4,3,3,3,6,2,14,9,52,64.30%,15,14,93.30%,5,304,,,60.8,,,,,
34,Kai Forbath,ForbKa00,2TM,32,,4,0,,,2,2,1,1,7,7,1,1,11,11,50,100.00%,12,11,91.70%,23,1375,15,65.20%,59.8,,,,,
35,Ty Long,LongTy00,LAC,26,,16,0,,,,,3,2,5,4,1,1,9,7,51,77.80%,9,9,100.00%,47,2978,28,59.60%,63.4,48,2256,60,0,47
36,Cairo Santos,SantCa01,TEN,28,,5,0,,,,,3,1,3,2,3,1,9,4,53,44.40%,12,12,100.00%,21,1339,12,57.10%,63.8,,,,,
37,Stephen Gostkowski,GostSt20,NWE,35,,4,0,,,3,3,3,3,2,1,,,8,7,41,87.50%,15,11,73.30%,26,1687,21,80.80%,64.9,,,,,
38,Mike Nugent,nugenmik01,NWE,37,,4,0,,,4,3,3,2,1,,,,8,5,37,62.50%,16,15,93.80%,,,,,,,,,,
39,Ryan Succop,SuccRy44,TEN,33,,6,0,,,,,1,1,4,,1,,6,1,31,16.70%,25,24,96.00%,17,1015,3,17.60%,59.7,,,,,
40,Cody Parkey,ParkCo03,TEN,27,,3,0,,,,,,,2,2,1,1,3,3,51,100.00%,6,5,83.30%,12,753,9,75.00%,62.8,,,,,
41,Kaare Vedvik,VedvKa00,NYJ,25,,1,0,,,,,,,1,,,,1,,,0.00%,1,,0.00%,3,195,3,100.00%,65,,,,,
42,Lac Edwards,EdwaLa01,NYJ,27,,16,0,,,,,,,,,,,,,,,,,,3,159,,,53,87,3991,63,0,45.9
43,Jake Bailey,BailJa00,NWE,22,,16,0,,,,,,,,,,,,,,,,,,65,3973,38,58.50%,61.1,81,3638,65,0,44.9
44,Pat O'Donnell,ODonPa00,CHI,28,,16,0,,,,,,,,,,,,,,,,,,15,962,10,66.70%,64.1,80,3586,75,1,44.8
45,Corey Bojorquez,BojoCo00,BUF,23,,16,0,,,,,,,,,,,,,,,,,,1,50,,,50,79,3313,67,1,41.9
46,Tress Way*,WayxTr00,WAS,29,,16,0,,,,,,,,,,,,,,,,,,,,,,,79,3919,79,0,49.6
47,Brett Kern*+,KernBr20,TEN,33,,16,0,,,,,,,,,,,,,,,,,,,,,,,78,3672,70,0,47.1
48,Colby Wadman,WadmCo00,DEN,24,,16,0,,,,,,,,,,,,,,,,,,,,,,,78,3464,64,0,44.4
49,JK Scott,ScotJK00,GNB,23,,16,0,,,,,,,,,,,,,,,,,,,,,,,77,3386,66,0,44
50,Sam Martin,MartSa01,DET,29,,16,0,,,,,,,,,,,,,,,,,,61,3740,17,27.90%,61.3,76,3445,62,0,45.3
51,Logan Cooke,CookLo00,JAX,24,,16,0,,,,,,,,,,,,,,,,,,36,2300,16,44.40%,63.9,75,3507,66,0,46.8
52,Kevin Huber,HubeKe20,CIN,34,,16,0,,,,,,,,,,,,,,,,,,,,,,,75,3394,63,0,45.3
53,Michael Palardy,PalaMi00,CAR,27,,16,0,,,,,,,,,,,,,,,,,,6,155,,,25.8,75,3452,62,0,46
54,Jordan Berry,BerrJo00,PIT,28,,16,0,,,,,,,,,,,,,,,,,,3,183,,,61,74,3368,69,0,45.5
55,Michael Dickson,DickMi00,SEA,23,,16,0,,,,,,,,,,,,,,,,,,,,,,,74,3341,63,0,45.1
56,Cameron Johnston,JohnCa02,PHI,27,,16,0,,,,,,,,,,,,,,,,,,,,,,,71,3292,61,0,46.4
57,Riley Dixon,DixoRi00,NYG,26,,16,0,,,,,,,,,,,,,,,,,,1,52,,,52,69,3178,62,2,46.1
58,Matt Haack,HaacMa00,MIA,25,,16,0,,,,,,,,,,,,,,,,,,2,109,,,54.5,69,3105,62,0,45
59,A.J. Cole,ColeAJ01,OAK,24,,16,0,,,,,,,,,,,,,,,,,,,,,,,67,3081,74,0,46
60,Johnny Hekker,HekkJo00,LAR,29,,16,0,,,,,,,,,,,,,,,,,,2,76,1,50.00%,38,66,3128,71,1,47.4
61,Jamie Gillan,GillJa00,CLE,22,,16,0,,,,,,,,,,,,,,,,,,4,150,,,37.5,63,2913,71,1,46.2
62,Britton Colquitt,ColqBr00,MIN,34,,16,0,,,,,,,,,,,,,,,,,,1,63,,,63,62,2802,59,0,45.2
63,Andy Lee,LeexAn20,ARI,37,,15,0,,,,,,,,,,,,,,,,,,,,,,,61,2913,64,1,47.8
64,Thomas Morstead,MorsTh00,NOR,33,,16,0,,,,,,,,,,,,,,,,,,1,46,,,46,60,2770,64,0,46.2
65,Rigoberto Sanchez,SancRi00,IND,25,,16,0,,,,,,,,,,,,,,,,,,79,5101,60,75.90%,64.6,59,2619,60,0,44.4
66,Bradley Pinion,PiniBr00,TAM,25,,16,0,,,,,,,,,,,,,,,,,,97,6303,88,90.70%,65,57,2464,63,0,43.2
67,Mitch Wishnowsky,WishMi00,SFO,27,,16,0,,,,,,,,,,,,,,,,,,96,6105,49,51.00%,63.6,52,2333,65,0,44.9
68,Chris Jones,JoneCh02,DAL,30,,16,0,,,,,,,,,,,,,,,,,,,,,,,50,2079,58,1,41.6
69,Dustin Colquitt,ColqDu20,KAN,37,,16,0,,,,,,,,,,,,,,,,,,,,,,,48,2126,68,1,44.3
70,Bryan Anger,AngeBr00,HOU,31,,14,0,,,,,,,,,,,,,,,,,,1,73,,,73,45,2094,71,0,46.5
71,Sam Koch,KochSa20,BAL,37,,16,0,,,,,,,,,,,,,,,,,,,,,,,40,1855,62,1,46.4
72,Ryan Allen,AlleRy01,ATL,29,,8,0,,,,,,,,,,,,,,,,,,,,,,,28,1172,59,0,41.9
73,Trevor Daniel,DaniTr00,HOU,25,,2,0,,,,,,,,,,,,,,,,,,,,,,,11,479,54,0,43.5
74,Matthew Bosher,BoshMa00,ATL,32,,3,0,,,,,,,,,,,,,,,,,,6,318,4,66.70%,53,9,377,52,1,41.9
75,Kasey Redfern,RedfKa00,ATL,28,,3,0,,,,,,,,,,,,,,,,,,15,818,9,60.00%,54.5,9,371,54,0,41.2
76,Matt Wile,WileMa01,ATL,27,,2,0,,,,,,,,,,,,,,,,,,11,633,7,63.60%,57.5,6,290,60,0,48.3
77,Ryan Winslow,WinsRy00,ARI,25,,2,0,,,,,,,,,,,,,,,,,,,,,,,6,291,55,0,48.5
78,Greg Joseph,JoseGr00,TEN,25,,2,0,,,,,,,,,,,,,,,9,9,100.00%,11,689,6,54.50%,62.6,,,,,
